LP6005441-DNA_A10	https://www.ebi.ac.uk/ena/data/view/ERR1419095	33.59
LP6005442-DNA_B12	https://www.ebi.ac.uk/ena/data/view/ERR1419185	33.86
LP6005442-DNA_A04	https://www.ebi.ac.uk/ena/data/view/ERR1419173	33.95
LP6005442-DNA_H09	https://www.ebi.ac.uk/ena/data/view/ERR1347676	34.11
SS6004478	https://www.ebi.ac.uk/ena/data/view/ERR1395601	44.4
SS6004472	https://www.ebi.ac.uk/ena/data/view/ERR1395595	44.45
LP6005443-DNA_G11	https://www.ebi.ac.uk/ena/data/view/ERR1347738	44.48
LP6005441-DNA_G04	https://www.ebi.ac.uk/ena/data/view/ERR1419152	44.56
LP6005441-DNA_A06	https://www.ebi.ac.uk/ena/data/view/ERR1419092	68.6
LP6005441-DNA_D05	https://www.ebi.ac.uk/ena/data/view/ERR1419124	68.83
LP6005441-DNA_B06	https://www.ebi.ac.uk/ena/data/view/ERR1625860	80.02
LP6005441-DNA_C06	https://www.ebi.ac.uk/ena/data/view/ERR1625861	83.23